height,age,seed
4.51,3,S301
10.89,5,S301
28.72,10,S301
41.74,15,S301
52.7,20,S301
60.92,25,S301
4.55,3,S303
10.92,5,S303
29.07,10,S303
42.83,15,S303
53.88,20,S303
63.39,25,S303
4.79,3,S305
11.37,5,S305
30.21,10,S305
44.4,15,S305
55.82,20,S305
64.1,25,S305
3.91,3,S307
9.48,5,S307
25.66,10,S307
39.07,15,S307
50.78,20,S307
59.07,25,S307
4.81,3,S309
11.2,5,S309
28.66,10,S309
41.66,15,S309
53.31,20,S309
63.05,25,S309
3.88,3,S311
9.4,5,S311
25.99,10,S311
39.55,15,S311
51.46,20,S311
59.64,25,S311
4.32,3,S315
10.43,5,S315
27.16,10,S315
40.85,15,S315
51.33,20,S315
60.07,25,S315
4.57,3,S319
10.57,5,S319
27.9,10,S319
41.13,15,S319
52.43,20,S319
60.69,25,S319
3.77,3,S321
9.03,5,S321
25.45,10,S321
38.98,15,S321
49.76,20,S321
60.28,25,S321
4.33,3,S323
10.79,5,S323
28.97,10,S323
42.44,15,S323
53.17,20,S323
61.62,25,S323
4.38,3,S325
10.48,5,S325
27.93,10,S325
40.2,15,S325
50.06,20,S325
58.49,25,S325
4.12,3,S327
9.92,5,S327
26.54,10,S327
37.82,15,S327
48.43,20,S327
56.81,25,S327
3.93,3,S329
9.34,5,S329
26.08,10,S329
37.79,15,S329
48.31,20,S329
56.43,25,S329
3.46,3,S331
9.05,5,S331
25.85,10,S331
39.15,15,S331
49.12,20,S331
59.49,25,S331
